date_id,full_date,year,month,day
604,2019-05-04,2019,5,4
605,2019-05-05,2019,5,5
606,2019-05-16,2019,5,16
607,2019-05-25,2019,5,25
608,2019-05-29,2019,5,29
609,2019-06-23,2019,6,23
610,2019-06-29,2019,6,29
611,2019-07-05,2019,7,5
612,2019-07-07,2019,7,7
613,2019-07-09,2019,7,9
614,2019-07-26,2019,7,26
615,2019-08-18,2019,8,18
616,2019-08-30,2019,8,30
617,2019-09-05,2019,9,5
618,2019-09-13,2019,9,13
619,2019-09-17,2019,9,17
620,2019-10-02,2019,10,2
621,2019-10-13,2019,10,13
622,2019-10-14,2019,10,14
623,2019-10-27,2019,10,27
624,2019-11-18,2019,11,18
625,2019-12-29,2019,12,29
626,2019-12-31,2019,12,31
627,2020-01-13,2020,1,13
628,2020-01-15,2020,1,15
629,2020-01-17,2020,1,17
630,2020-01-19,2020,1,19
631,2020-01-22,2020,1,22
632,2020-01-23,2020,1,23
633,2020-02-13,2020,2,13
634,2020-02-14,2020,2,14
635,2020-03-09,2020,3,9
636,2020-03-23,2020,3,23
637,2020-03-26,2020,3,26
638,2020-04-26,2020,4,26
639,2020-04-27,2020,4,27
640,2020-05-24,2020,5,24
641,2020-06-08,2020,6,8
642,2020-06-28,2020,6,28
643,2020-07-07,2020,7,7
644,2020-07-16,2020,7,16
645,2020-07-17,2020,7,17
646,2020-07-30,2020,7,30
647,2020-08-06,2020,8,6
648,2020-08-09,2020,8,9
649,2020-09-06,2020,9,6
650,2020-09-08,2020,9,8
651,2020-09-21,2020,9,21
652,2020-10-13,2020,10,13
653,2020-10-19,2020,10,19
654,2020-10-30,2020,10,30
655,2020-10-31,2020,10,31
656,2020-11-05,2020,11,5
657,2020-11-11,2020,11,11
658,2020-11-15,2020,11,15
659,2020-11-18,2020,11,18
660,2020-11-28,2020,11,28
661,2020-12-04,2020,12,4
662,2020-12-16,2020,12,16
663,2020-12-23,2020,12,23
664,2021-01-30,2021,1,30
665,2021-02-14,2021,2,14
666,2021-02-20,2021,2,20
667,2021-03-03,2021,3,3
668,2021-03-13,2021,3,13
669,2021-03-25,2021,3,25
670,2021-05-04,2021,5,4
671,2021-05-31,2021,5,31
672,2021-06-13,2021,6,13
673,2021-07-23,2021,7,23
674,2021-07-24,2021,7,24
675,2021-08-02,2021,8,2
676,2021-08-03,2021,8,3
677,2021-08-16,2021,8,16
678,2021-08-25,2021,8,25
679,2021-09-13,2021,9,13
680,2021-09-14,2021,9,14
681,2021-10-01,2021,10,1
682,2021-10-05,2021,10,5
683,2021-10-07,2021,10,7
684,2021-10-16,2021,10,16
685,2021-10-23,2021,10,23
686,2021-10-27,2021,10,27
687,2021-10-29,2021,10,29
